injetion_rate(ps) Mesh_XY NoI_Mesh NoI_CMesh 
0.01 9683.564023 11387.767627 8726.514843 
0.02 9635.040799 11352.350999 8789.285621 
0.03 9825.503680 11641.531439 9001.721765 
0.04 9904.131191 11834.654541 9209.623657 
0.05 10102.992043 12515.425221 9830.602814 
0.06 10186.303448 13138.013525 10349.187381 
0.07 10490.149137 19011.552595 12039.746184 
0.08 10690.832321 34393.529906 25397.980804 
